,,,Passing,,,,Rushing,,,,Receiving,,,,Kick Ret,,Punt Ret,
Name,Team,Pos,YDS,TD,INT,YPA,ATT,YDS,AVG,TD,REC,YDS,AVG,TD,YDS,TD,YDS,TD
Cedrick Wilson,NO,WR,0,0,0,0.0,0,0,0.0,0,2,21,10.5,0,0,0,0,0
Zach Wilson,MIA,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jameis Winston,NYG,QB,420,3,2,7.0,5,15,3.0,0,0,0,0.0,0,0,0,0,0
Charlie Woerner,ATL,TE,0,0,0,0.0,0,0,0.0,0,7,62,8.9,1,0,0,0,0
Robert Woods,PIT,WR,0,0,0,0.0,0,0,0.0,0,24,257,10.7,2,0,0,0,0
Jelani Woods,IND,TE,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Michael Woods,CLE,WR,0,0,0,0.0,0,0,0.0,0,11,128,11.6,1,0,0,0,0
Xavier Worthy,KC,WR,0,0,0,0.0,16,92,5.8,1,68,840,12.4,7,0,0,0,0
Jaylen Wright,MIA,RB,0,0,0,0.0,92,402,4.4,3,20,147,7.4,1,50,0,0,0
Brock Wright,DET,TE,0,0,0,0.0,0,0,0.0,0,12,122,10.2,1,0,0,0,0
Matthew Wright,CAR,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Marcus Yarns,NO,RB,0,0,0,0.0,5,21,4.2,0,1,7,7.0,0,0,0,0,0
Kenny Yeboah,DET,TE,0,0,0,0.0,0,0,0.0,0,4,40,10.0,0,0,0,0,0
Cade York,CIN,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Bryce Young,CAR,QB,3413,21,12,6.8,57,297,5.2,3,0,0,0.0,0,0,0,0,0
Benjamin Yurosek,MIN,TE,0,0,0,0.0,0,0,0.0,0,11,101,9.2,1,0,0,0,0
Olamide Zaccheaus,CHI,WR,0,0,0,0.0,1,3,3.0,0,23,238,10.3,2,0,0,62,0
Bailey Zappe,KC,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Greg Zuerlein,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Dominic Zvada,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Shane Zylstra,DET,TE,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
